feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic
M_N_T_stochasticD_6_bnd_N,-0.02382808642483802,0.07913934591722675,0.5069981583793739,5431,Oscillator,0.741458100997512,False,0.02382808642483802
M_N_stochasticK_6_bnd_N,-0.023765749773622606,0.07987187308023924,0.5069955817378498,5433,Oscillator,0.741458100997512,False,0.023765749773622606
S_M_longShortChange_3_pct_N,-0.02375985670249538,0.09337159157126111,0.4863672814755413,4989,Sentiment,0.741458100997512,False,0.02375985670249538
V_hurstExponent_126_rat_N,0.023210235205941114,0.09077706032835761,0.5055545095085672,5312,Volatility,0.741458100997512,False,0.023210235205941114
N_P_T_priceEmaDeviation_3_pct_N,-0.02317682140025545,0.08748743978512356,0.47029611918337316,5438,Other,0.741458100997512,False,0.02317682140025545
D_F_basis_pct_N,-0.022840866535613246,0.09217646587314389,0.4945742137208019,5438,Premium,0.741458100997512,False,0.022840866535613246
L_M_N_S_oiRoc_6_pct_N,-0.022740374590841356,0.09379891639125151,0.489965015650893,5432,OpenInterest,0.741458100997512,False,0.022740374590841356
M_D_F_S_premiumChange_pct_N,-0.022401264735933346,0.09861460103743849,0.4842744160382564,5438,Premium,0.7440919896461268,False,0.022401264735933346
N_P_T_priceEmaDeviation_6_pct_N,-0.02163349519162089,0.11071500718425774,0.4759977929004966,5438,Other,0.7719122744013953,False,0.02163349519162089
M_P_D_markReturnDiff_pct_N,-0.021581877527688847,0.11160177461224993,0.4505150846210449,5437,Momentum,0.7719122744013953,False,0.021581877527688847
S_longShortRatio_rat_N,-0.020820966375736116,0.14128441321671903,0.5045063088323654,4994,Sentiment,0.808731468757771,False,0.020820966375736116
M_N_stochasticK_12_bnd_N,-0.02069522749605679,0.12744597890651124,0.5071876151861408,5427,Oscillator,0.7846968408937212,False,0.02069522749605679
N_P_L_vwapDeviation_pct_N,-0.02066705491595643,0.12757901611995898,0.47268714364539266,5438,Other,0.7846968408937212,False,0.02066705491595643
M_N_T_stochasticD_12_bnd_N,-0.02046692722329082,0.13177097779387964,0.5071902654867256,5425,Oscillator,0.7846968408937212,False,0.02046692722329082
D_N_markCloseDeviation_pct_N,-0.020411401280574563,0.13235850328327828,0.3812764392128012,5438,Other,0.7846968408937212,False,0.020411401280574563
S_M_longShortChange_12_pct_N,-0.020340212806704054,0.15127718805425794,0.49387427194215705,4980,Sentiment,0.8370671072335606,False,0.020340212806704054
B_consecutiveDown_bnd_N,0.01905704593510123,0.16002272957286348,0.2613573661945926,5438,Other,0.8568959067450108,False,0.01905704593510123
N_M_cci_12_zsc_N,-0.018730438455346644,0.16816823904461745,0.4823638042474608,5416,Other,0.872372740043953,False,0.018730438455346644
V_atrPct_3_pct_N,0.018043317199036887,0.18347798053528283,0.5073583517292126,5437,Volatility,0.9153488922726285,False,0.018043317199036887
V_atrPct_6_pct_N,0.01787981641920793,0.18748109841728536,0.5073583517292126,5437,Volatility,0.9153488922726285,False,0.01787981641920793
N_P_zScore_21_zsc_N,-0.01621872386176663,0.23267146115070036,0.4884622484770168,5418,Other,0.9265976753160645,False,0.01621872386176663
N_P_V_pctB_21_bnd_N,-0.01621872386176663,0.23267146115070036,0.4991692818903452,5418,Volatility,0.9265976753160645,False,0.01621872386176663
N_P_V_pctB_6_bnd_N,-0.015914608335270704,0.24089831074904575,0.5077319587628866,5433,Volatility,0.9265976753160645,False,0.015914608335270704
V_rogersSatchell_12_pct_N,0.01575601445242264,0.2458800820960948,0.5071876151861408,5427,Volatility,0.9265976753160645,False,0.01575601445242264
V_atrPct_12_pct_N,0.015659130603270812,0.24836040669855522,0.5073583517292126,5437,Volatility,0.9265976753160645,False,0.015659130603270812
M_P_roc_6_pct_N,-0.015620325178359443,0.24975277354234487,0.4829681458294973,5432,Momentum,0.9265976753160645,False,0.015620325178359443
D_N_closeVsMarkVol_21_pct_N,-0.015342111949461739,0.2589022811792283,0.5067380468894221,5418,Other,0.9265976753160645,False,0.015342111949461739
V_garmanKlass_12_pct_N,0.015093018940282374,0.2663188287823078,0.5071876151861408,5427,Volatility,0.9265976753160645,False,0.015093018940282374
B_C_candleDirection_bin,-0.01494359657476911,0.2705967163062979,0.4771013426521979,5438,Candlestick,0.9265976753160645,False,0.01494359657476911
L_N_volOiRatio_rat_N,0.014867682090871406,0.2730384509653264,0.5074489608239838,5438,OpenInterest,0.9265976753160645,False,0.014867682090871406
N_P_T_priceEmaDeviation_12_pct_N,-0.014465210964521105,0.2862349247941448,0.4815155416590031,5438,Other,0.9265976753160645,False,0.014465210964521105
D_F_T_premiumMa_3_pct_N,-0.014002983164381845,0.3019140928301971,0.5050579363619643,5438,Premium,0.9265976753160645,False,0.014002983164381845
V_parkinson_12_pct_N,0.0139417035293682,0.3045247691027748,0.5071876151861408,5427,Volatility,0.9265976753160645,False,0.0139417035293682
M_T_V_diDiff_6_bnd_N,-0.01384017984272555,0.30761462600527206,0.4795805739514349,5437,Volatility,0.9265976753160645,False,0.01384017984272555
V_volOfVol_6_pct_N,0.013620378090434484,0.31580715457858455,0.5071876151861408,5427,Volatility,0.9265976753160645,False,0.013620378090434484
M_V_calmar_21_rat_N,-0.01353874857502051,0.3191630523102881,0.49169128508124077,5417,Volatility,0.9265976753160645,False,0.01353874857502051
L_S_oiVolumeRatio_6_rat_N,-0.01304546450881901,0.3364024560560033,0.5069955817378498,5433,OpenInterest,0.9265976753160645,False,0.01304546450881901
V_yangZhang_12_pct_N,0.012950388322738298,0.3406934055858192,0.5067405355493998,5416,Volatility,0.9265976753160645,False,0.012950388322738298
F_I_M_fundingMaDiff_7_21_pct_N,-0.01282798515787809,0.3442985947997095,0.4712157439764576,5438,Funding,0.9265976753160645,False,0.01282798515787809
N_P_T_priceSmaDeviation_21_pct_N,-0.012789821522618287,0.34662513144158835,0.4884622484770168,5418,Other,0.9265976753160645,False,0.012789821522618287
B_consecutiveUp_bnd_N,-0.012786031089451677,0.3458790212852543,0.2460915946293912,5438,Other,0.9265976753160645,False,0.012786031089451677
N_P_T_priceSmaDeviation_12_pct_N,-0.012739900430788443,0.34811050137379607,0.48064872834500555,5427,Other,0.9265976753160645,False,0.012739900430788443
M_P_V_momAtr_6_rat_N,-0.012666724587302843,0.35066464526527696,0.4829681458294973,5432,Momentum,0.9265976753160645,False,0.012666724587302843
N_P_T_priceEmaDeviation_21_pct_N,-0.01260712653615676,0.35267018798307104,0.49071178958984735,5438,Other,0.9265976753160645,False,0.01260712653615676
V_atrPct_21_pct_N,0.012591941605195292,0.3532947562606068,0.5073583517292126,5437,Volatility,0.9265976753160645,False,0.012591941605195292
N_P_V_pctB_3_bnd_N,-0.012577587945447156,0.35388810661450365,0.5072677092916283,5436,Volatility,0.9265976753160645,False,0.012577587945447156
C_N_lowerShadow_bnd_N,-0.012030929992352926,0.3751106855350679,0.5048740114033474,5438,Candlestick,0.9265976753160645,False,0.012030929992352926
M_winRate_6_bnd_N,-0.01198112051495719,0.3773107068790563,0.5022091310751104,5433,Other,0.9265976753160645,False,0.01198112051495719
M_N_rsi_6_bnd_N,-0.011949435577766678,0.38237647574427613,0.5024317246539469,5347,Oscillator,0.9265976753160645,False,0.011949435577766678
D_N_closeVsMarkVol_6_pct_N,-0.011746516397632432,0.38672405018701406,0.5057069219440353,5433,Other,0.9265976753160645,False,0.011746516397632432
M_T_ppo_8_21_pct_N,-0.01156335205621306,0.39395441542673093,0.491263564465698,5438,Trend,0.9265976753160645,False,0.01156335205621306
M_P_L_vwapReturn_pct_N,0.011524725783361953,0.39557976514212,0.4863870493009566,5437,Momentum,0.9265976753160645,False,0.011524725783361953
N_P_V_pctB_12_bnd_N,-0.011523067721151322,0.3960828854041327,0.5040545521562846,5427,Volatility,0.9265976753160645,False,0.011523067721151322
N_P_zScore_12_zsc_N,-0.011523067721151322,0.3960828854041327,0.48064872834500555,5427,Other,0.9265976753160645,False,0.011523067721151322
N_M_cci_6_zsc_N,-0.011427730839483253,0.3999594647550635,0.48313985627418465,5428,Other,0.9265976753160645,False,0.011427730839483253
M_T_V_adx_6_bnd_N,0.011393731557031422,0.4009727707757407,0.5073583517292126,5437,Volatility,0.9265976753160645,False,0.011393731557031422
M_P_roc_12_pct_N,-0.01121550732989268,0.4088555376146299,0.487926267281106,5426,Momentum,0.9265976753160645,False,0.01121550732989268
V_maxDrawdown_21_pct_N,-0.010926003592531595,0.4213997203241737,0.4927081410374746,5418,Volatility,0.9265976753160645,False,0.010926003592531595
V_kurtosis_12_rat_N,-0.010723657169980262,0.42971037242175925,0.5017511520737327,5426,Volatility,0.9265976753160645,False,0.010723657169980262
