feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
D_F_T_premiumMa_7_pct_N,-0.03319464713983525,0.014474203696233602,0.5033173608551419,5438,Premium,0.12394367429059523,False,0.03319464713983525,12,96h
M_T_V_adx_6_bnd_N,0.03257393645288324,0.016426270086705393,0.519447004608295,5437,Volatility,0.12394367429059523,False,0.03257393645288324,12,96h
L_M_N_S_oiRoc_12_pct_N,-0.03059800092233483,0.024359913683162922,0.49187292205393424,5426,OpenInterest,0.1758150291915237,False,0.03059800092233483,12,96h
C_N_upperShadow_bnd_N,0.030030254556661883,0.02696255961694855,0.5164025064504238,5438,Candlestick,0.1864910373505608,False,0.030030254556661883,12,96h
V_D_F_S_premiumRange_pct_N,0.02948593176037835,0.029859703180112995,0.5193512716549945,5438,Volatility,0.1982684291159503,False,0.02948593176037835,12,96h
D_N_closeVsMarkVol_6_pct_N,-0.029182900170689228,0.03166419136863243,0.5176166758900572,5433,Other,0.2021636833535763,False,0.029182900170689228,12,96h
D_N_V_markAtrRatio_21_rat_N,-0.028713626508149744,0.03444364438398204,0.519447004608295,5437,Volatility,0.21176462843485255,False,0.028713626508149744,12,96h
F_I_M_fundingMaDiff_3_21_pct_N,-0.027997234899330203,0.03918448918498105,0.45281975672687064,5438,Funding,0.2273513638206263,False,0.027997234899330203,12,96h
M_V_calmar_21_rat_N,-0.027637516015667735,0.042174665458584844,0.4827012025901943,5417,Volatility,0.2273513638206263,False,0.027637516015667735,12,96h
B_TM_dayOfWeek_bin,0.027620830620018737,0.04190039553637639,0.4450792480648728,5438,Other,0.2273513638206263,False,0.027620830620018737,12,96h
V_rogersSatchell_12_pct_N,0.027292252764676752,0.04461601314832805,0.5185595567867036,5427,Volatility,0.2273513638206263,False,0.027292252764676752,12,96h
M_P_roc_21_pct_N,-0.027223657131347608,0.04535403853675797,0.4827012025901943,5417,Momentum,0.2273513638206263,False,0.027223657131347608,12,96h
M_winRate_6_bnd_N,0.027199886593643276,0.045223819428112974,0.5157719977863863,5433,Other,0.2273513638206263,False,0.027199886593643276,12,96h
M_N_T_stochasticD_12_bnd_N,-0.02705231378503447,0.04656594198735719,0.5183816737483835,5425,Oscillator,0.2273513638206263,False,0.02705231378503447,12,96h
V_kurtosis_21_rat_N,-0.026872236802714163,0.04821009365925196,0.5074930619796485,5417,Volatility,0.2283043423796628,False,0.026872236802714163,12,96h
F_I_fundingCumulative_7_pct_N,-0.026647655010547503,0.049669474074205154,0.5140066347217103,5438,Funding,0.2283043423796628,False,0.026647655010547503,12,96h
F_I_N_S_fundingZscore_21_zsc_N,-0.02650693148404404,0.050887112458117605,0.46037596756358273,5438,Funding,0.2283043423796628,False,0.02650693148404404,12,96h
V_garmanKlass_12_pct_N,0.0258175883259483,0.057471354435849685,0.5185595567867036,5427,Volatility,0.23503617429828189,False,0.0258175883259483,12,96h
V_skew_21_rat_N,0.025469302930287287,0.06115947147330528,0.49324699352451434,5417,Volatility,0.23503617429828189,False,0.025469302930287287,12,96h
M_V_sharpe_21_rat_N,-0.02540966888987147,0.06176828030148364,0.4827012025901943,5417,Volatility,0.23503617429828189,False,0.02540966888987147,12,96h
V_atrPct_12_pct_N,0.025297519192385154,0.06244152888734141,0.519447004608295,5437,Volatility,0.23503617429828189,False,0.025297519192385154,12,96h
F_I_T_fundingMa_7_pct_N,-0.025291643769850252,0.0624782640420937,0.5140066347217103,5438,Funding,0.23503617429828189,False,0.025291643769850252,12,96h
D_N_V_markAtrRatio_12_rat_N,-0.025267163677287947,0.06275674127335412,0.519447004608295,5437,Volatility,0.23503617429828189,False,0.025267163677287947,12,96h
V_atrPct_6_pct_N,0.025145999037090652,0.06402804818442676,0.519447004608295,5437,Volatility,0.23503617429828189,False,0.025145999037090652,12,96h
M_P_V_momAtr_21_rat_N,-0.025108287955110838,0.06492229116281995,0.4827012025901943,5417,Momentum,0.23503617429828189,False,0.025108287955110838,12,96h
V_yangZhang_12_pct_N,0.024960879264840453,0.06653783086280199,0.518319763138416,5416,Volatility,0.23503617429828189,False,0.024960879264840453,12,96h
M_N_rsi_21_bnd_N,-0.024955476066164564,0.06654638669891114,0.5181280059193488,5418,Oscillator,0.23503617429828189,False,0.024955476066164564,12,96h
M_N_stochasticK_12_bnd_N,-0.024673628851510008,0.06944592106264834,0.5185595567867036,5427,Oscillator,0.24016714367499217,False,0.024673628851510008,12,96h
L_S_oiVolumeRatio_21_rat_N,-0.024286413576766218,0.07417680851419393,0.5181280059193488,5418,OpenInterest,0.25129286149706515,False,0.024286413576766218,12,96h
