feature,importance_mean,importance_std,domain
V_volMomentum_12_pct_N,-0.0018598625661822392,0.0004170783625126503,Volatility
L_M_N_volumeRoc_12_pct_N,-0.0018632420862904064,0.0003395964647165308,Volume
M_P_roc_12_pct_N,-0.0018835192069392992,0.0007403660532051163,Momentum
V_volOfVol_12_pct_N,-0.0018846457136420154,0.0013917888875921802,Volatility
D_N_V_markCloseRange_rat_N,-0.0021741579362397254,0.0005016383803954035,Volatility
M_N_rocAccel_6_dif_N,-0.002184296496564153,0.0006459295524382585,Momentum
L_N_volOiRatio_rat_N,-0.0022090796440238925,0.0007537483201474764,OpenInterest
V_yangZhang_21_pct_N,-0.002222597724456432,0.0004356771044389275,Volatility
F_I_M_fundingMaDiff_7_21_pct_N,-0.002272164019375874,0.0006378873423601184,Funding
M_P_roc_6_pct_N,-0.00233186887461978,8.881560592286514e-05,Momentum
M_P_D_markReturnDiff_pct_N,-0.002488453306297156,0.0012742309658570902,Momentum
V_skew_12_rat_N,-0.002518868987270495,0.000838785422967251,Volatility
M_N_rsi_12_bnd_N,-0.002628140137433843,0.0016354860038262364,Oscillator
L_M_S_obv_21_zsc_N,-0.0026641883519206897,0.0008676017923615793,Volatility
C_N_lowerShadow_bnd_N,-0.002967218654951013,0.0006655223888355998,Candlestick
M_N_stochasticK_12_bnd_N,-0.0029773572152754224,0.0033831556428159356,Oscillator
V_kurtosis_21_rat_N,-0.003087754872141505,0.0017517834834604679,Volatility
V_volMomentum_6_pct_N,-0.0032037850625211695,0.0011258317229829785,Volatility
S_longShortRatio_rat_N,-0.0033828996282528148,0.0010128905319757824,Sentiment
L_M_S_cmf_6_bnd_N,-0.00343021290976675,0.0002244944433343541,Volume
M_N_rocAccel_3_dif_N,-0.0034313394164694846,0.004116199381808453,Momentum
L_M_S_mfi_12_bnd_N,-0.0034561225639292426,0.002193060033472287,Volume
L_M_S_cmf_12_bnd_N,-0.0035135744057677165,0.0032231839236266956,Volume
M_N_stochasticK_6_bnd_N,-0.0035203334459839772,0.0009420815999801652,Oscillator
L_N_S_oiRatio_21_rat_N,-0.004250309789343228,0.0006485470399600317,OpenInterest
L_N_volumeRatio_6_rat_N,-0.004384364086966371,0.001889153419800184,Volume
V_kurtosis_12_rat_N,-0.00442491832826412,0.00027880983997859783,Volatility
V_volOfVol_6_pct_N,-0.005460177988059052,0.0008455571617196965,Volatility
C_N_bodySize_bnd_N,-0.0062340880928241455,0.0036898234810065914,Candlestick
V_maxDrawdown_21_pct_N,-0.007396643010025923,0.0021181196011843375,Volatility
