feature,domain,ic_1bar,p_1bar,n_1bar,ic_3bar,p_3bar,n_3bar,ic_6bar,p_6bar,n_6bar,ic_12bar,p_12bar,n_12bar,best_horizon,best_ic
N_V_bollingerBandwidth_42_pct_N,Volatility,0.008507645179682203,0.5320914240354545,5396,0.033414336642825275,0.1566957162362922,1798,0.03741836388365197,0.2623906141393035,899,0.05852662000212111,0.21580466941238255,449,12,0.05852662000212111
M_N_rocAccel_3_dif_N,Momentum,-0.03214058215525331,0.017851829298041185,5431,-0.05802895793128467,0.013542884694678615,1810,-0.009851984990300813,0.7672476691406056,905,-0.05472909641106981,0.24555850078187227,452,3,-0.05802895793128467
S_M_longShortChange_12_pct_N,Sentiment,-0.020340212806704054,0.15127718805425794,4979,-0.03931987029649493,0.10949671117446022,1658,-0.052143921439435054,0.13335322607567252,830,-0.057013515099447944,0.2464997074854029,415,12,-0.057013515099447944
L_N_volumeRatio_6_rat_N,Volume,-0.0003982974888304894,0.9765865601306327,5432,0.008588531867621652,0.715002704534882,1810,0.026996314923926706,0.41727298054096196,905,0.05625195164963856,0.23264755092246062,452,12,0.05625195164963856
V_kurtosis_21_rat_N,Volatility,-0.00811356946663908,0.55052220535106,5416,-0.01764674677633707,0.45369680290655356,1805,-0.02868001638538279,0.38960247613985444,902,-0.05611878952626276,0.23427781398905131,451,12,-0.05611878952626276
M_winRate_6_bnd_N,Other,-0.01198112051495719,0.3773107068790563,5432,0.002763251121126969,0.9064804620445208,1810,0.03364717675369831,0.31196729251926564,905,0.05554327118830254,0.23859484741749012,452,12,0.05554327118830254
L_M_S_obv_21_zsc_N,Volatility,-0.006689437273995339,0.6225844481294022,5416,-0.01602550751272632,0.4962383085862948,1805,0.027785047231518444,0.4045736094957014,902,0.054663056204174255,0.24665557115513548,451,12,0.054663056204174255
D_N_closeVsMarkVol_21_pct_N,Other,-0.015342111949461739,0.2589022811792283,5417,-0.027032073612207257,0.25101823270892526,1805,-0.05396613442819115,0.10529355940855636,902,-0.03904518964739123,0.4081193628829466,451,6,-0.05396613442819115
L_N_volumeRatio_21_rat_N,Volume,0.009881001738047459,0.46716817316685333,5417,0.02619092341361264,0.26607411102846346,1805,0.04195488294079196,0.20808407934692308,902,0.0530256591383291,0.26111533945744014,451,12,0.0530256591383291
V_skew_42_rat_N,Volatility,0.02550158261955212,0.0610713253030757,5395,0.01697167827037395,0.47201861426323977,1798,0.040401445402433706,0.22621039576497373,899,0.052983167947017414,0.2625643408976223,449,12,0.052983167947017414
V_kurtosis_12_rat_N,Volatility,-0.010723657169980262,0.42971037242175925,5425,-0.014502019192029822,0.5377359613211448,1808,-0.02536872073449979,0.44616849243923973,904,-0.052229555450760086,0.2678198099985908,452,12,-0.052229555450760086
L_N_volumeRatio_12_rat_N,Volume,0.008178035896099018,0.5469899352266487,5426,0.03138791304824322,0.18219139242369806,1808,0.05166302192223221,0.12060996001991285,904,0.03900349467923294,0.408098579513843,452,6,0.05166302192223221
L_M_S_cmf_6_bnd_N,Volume,-0.007623659907801996,0.5742804896791693,5432,-0.03725320506044044,0.11311206155899871,1810,-0.04335923776786903,0.19250802013216886,905,-0.051379698529500625,0.2756943208433756,452,12,-0.051379698529500625
B_TM_dayOfWeek_bin,Other,0.005623949203447986,0.6784380170750017,5437,0.008200241876689733,0.7272172784819035,1812,0.01402983827937642,0.6732195130328043,906,0.05114204947166643,0.27739029735822507,453,12,0.05114204947166643
M_winRate_12_bnd_N,Other,-0.003989661234503484,0.7688974068195253,5426,0.0004956450615239229,0.9831973600173044,1808,0.03160545374090265,0.34252367067156786,904,0.050395136894678255,0.2850120046441086,452,12,0.050395136894678255
L_M_S_cmf_21_bnd_N,Volume,-0.02444485512839796,0.07201843184002846,5417,-0.03498396149002723,0.13735082969296641,1805,-0.03964707336016583,0.2342234758924194,902,-0.049985283440927716,0.2894896565790587,451,12,-0.049985283440927716
D_N_closeVsMarkVol_12_pct_N,Other,-0.0095361874831499,0.4824902686814121,5426,-0.017164736658089274,0.4657548252038398,1808,-0.04650469198241231,0.1623958606787019,904,-0.04970662393298449,0.2916526721269331,452,12,-0.04970662393298449
L_N_volOiRatio_rat_N,OpenInterest,0.014867682090871406,0.2730384509653264,5437,0.03389990422719562,0.14917374060265343,1812,0.03880092703210433,0.24332004739060126,906,0.049236168322575505,0.29571269552248775,453,12,0.049236168322575505
L_M_S_cmf_12_bnd_N,Volume,-0.02505720464722162,0.06494842320095205,5426,-0.036898761981646405,0.1167864366048506,1808,-0.03548237081271981,0.28656222721967195,904,-0.04771920623363554,0.311398564785505,452,12,-0.04771920623363554
V_autocorr_12_bnd_N,Volatility,0.00756558198448026,0.57744580434377,5425,-0.0032048145050808563,0.8916816037225587,1808,0.009673925455541616,0.7714595056376843,904,0.047105204100156804,0.3176726004152208,452,12,0.047105204100156804
V_atrPct_3_pct_N,Volatility,0.018043317199036887,0.18347798053528283,5436,0.046669149404095535,0.04706044031749444,1811,0.04634772405026158,0.16358643231455586,905,0.0233522229411209,0.6204816397290298,452,3,0.046669149404095535
L_M_N_S_oiRoc_6_pct_N,OpenInterest,-0.022740374590841356,0.09379891639125151,5431,-0.007669623324529387,0.7443664294640744,1810,-0.04648368428602097,0.16235301481404255,905,-0.0354590455379068,0.4520398184707529,452,6,-0.04648368428602097
L_M_S_obv_42_zsc_N,Volatility,0.0023267460349412667,0.8643325359113827,5395,-0.0018016206876359075,0.9391480061314021,1798,0.03565492632662044,0.2855631261386363,899,0.04626365468236291,0.3280246669609411,449,12,0.04626365468236291
F_I_N_S_fundingZscore_21_zsc_N,Funding,0.001767375985996202,0.8963374656173277,5437,-0.012843212738493433,0.584825422810046,1812,-0.0461999897251329,0.16470077837280403,906,-0.041381412455411666,0.3795658173278966,453,6,-0.0461999897251329
V_atrPct_6_pct_N,Volatility,0.01787981641920793,0.18748109841728536,5436,0.04560922269138502,0.052305745602916905,1811,0.04607923577331068,0.16604282101579276,905,0.02262373702360094,0.6314287865635255,452,6,0.04607923577331068
M_N_V_rangeExpansion_21_rat_N,Volatility,-0.0002087905907194909,0.9877421843789054,5417,0.02156915083508667,0.3597490409386319,1805,0.03451716141089454,0.30041874783514405,902,0.045692757490728556,0.33295499121494443,451,12,0.045692757490728556
V_rogersSatchell_12_pct_N,Volatility,0.01575601445242264,0.2458800820960948,5426,0.04550301215800674,0.0530543214538589,1808,0.040816762781471436,0.22018591328410378,904,0.04560651910430278,0.3333308733083752,452,12,0.04560651910430278
V_D_F_S_premiumRange_pct_N,Volatility,0.0034715646180488776,0.7980116407288573,5437,0.04533780677566662,0.053658680291606656,1812,0.03864823998796122,0.24518112923522237,906,0.025032331112155096,0.5951455714337617,453,3,0.04533780677566662
M_N_V_rangeExpansion_6_rat_N,Volatility,-0.004611327939231756,0.7340160676699461,5432,0.015275367616969336,0.5160374579714979,1810,0.022883331611839523,0.4917407132697046,905,0.045077372715408515,0.3389759988685732,452,12,0.045077372715408515
D_F_N_S_premiumZscore_21_zsc_N,Premium,-0.0449762173562014,0.0009089744646017404,5437,-0.04191239400675512,0.07447854804115057,1812,0.02654814093354145,0.42479383438237106,906,0.027263954804440556,0.5627343772563541,453,1,-0.0449762173562014
M_P_V_momAtr_3_rat_N,Momentum,-0.0385208200550887,0.00451151185879574,5434,-0.044011772482793254,0.06112745750030817,1811,0.014245647345893656,0.6686625310793715,905,-0.01160509513914328,0.8056413591864168,452,3,-0.044011772482793254
F_I_N_S_fundingZscore_42_zsc_N,Funding,-0.0018731300763359594,0.8901728355555024,5437,-0.01959620189207775,0.40446833580439867,1812,-0.04373253603965591,0.18845815141057393,906,-0.04047002710500985,0.39015953403614323,453,6,-0.04373253603965591
L_N_S_oiRatio_6_rat_N,OpenInterest,-0.007106150996172082,0.6005398421327646,5432,-0.019692672857674197,0.40241870448957484,1810,-0.04210808952070051,0.2056715861671486,905,-0.04346147503714226,0.35659080113597563,452,12,-0.04346147503714226
V_garmanKlass_12_pct_N,Volatility,0.015093018940282374,0.2663188287823078,5426,0.041921652014214605,0.07473558073694107,1808,0.03813475283174958,0.25203840890498647,904,0.043444971699374675,0.35677361834860777,452,12,0.043444971699374675
M_P_V_momAtr_6_rat_N,Momentum,-0.012666724587302843,0.35066464526527696,5431,-0.012722899875129248,0.5885543041388118,1810,0.029920609454141836,0.36861778819698565,905,0.043208337226345095,0.3594014271319834,452,12,0.043208337226345095
L_S_oiVolumeRatio_12_rat_N,OpenInterest,-0.010344713192542942,0.4461490894893586,5426,-0.027079426651012282,0.2497948861873746,1808,-0.017749209637589008,0.594059983163477,904,-0.042529491269669345,0.3670069978045557,452,12,-0.042529491269669345
V_atrPct_12_pct_N,Volatility,0.015659130603270812,0.24836040669855522,5436,0.04242034492944654,0.07110604268437637,1811,0.03673382327371137,0.26962919683408193,905,0.02449420193562061,0.6034889189289558,452,3,0.04242034492944654
D_markIndexSpread_pct_N,Other,-0.0054633758612216395,0.6871263007827917,5437,-0.012643171216508766,0.590687872835128,1812,0.0035148154437864027,0.9158603462735023,906,0.042326857696504086,0.36876449942322154,453,12,0.042326857696504086
M_N_V_rangeExpansion_12_rat_N,Volatility,0.0005359983747826936,0.9685130482651363,5426,0.02402558816159939,0.30724360039011406,1808,0.042292068047430034,0.2039466658440125,904,0.030007356330323007,0.5245535849517005,452,6,0.042292068047430034
D_F_N_S_premiumZscore_42_zsc_N,Premium,-0.038637306218454265,0.004380592495696845,5437,-0.03845541279904427,0.1017496136437828,1812,0.025515527291038242,0.4430353053243251,906,0.04170578329240034,0.37583835739805604,453,12,0.04170578329240034
D_F_basis_pct_N,Premium,-0.022840866535613246,0.09217646587314389,5437,-0.01939785192241667,0.40924232304030683,1812,0.02872147998865798,0.38786459868012524,906,0.04144087949787533,0.3788807696024463,453,12,0.04144087949787533
V_parkinson_12_pct_N,Volatility,0.0139417035293682,0.3045247691027748,5426,0.038688610596135424,0.10006465441561842,1808,0.035403915272564784,0.2876297735360946,904,0.040759475807211384,0.3873033223037664,452,12,0.040759475807211384
V_returnStd_6_pct_N,Volatility,0.007720454330859704,0.5694655048570183,5431,0.032708767078168915,0.16423278730609306,1810,0.008017331287399993,0.8096654449492591,905,-0.04045552850769672,0.39085599963514717,452,12,-0.04045552850769672
M_P_D_markReturnDiff_pct_N,Momentum,-0.021581877527688847,0.11160177461224993,5436,0.0016231295462374503,0.9449689204058489,1811,0.021241510079085757,0.52334232170326,905,-0.04034697863685956,0.3921295467336847,452,12,-0.04034697863685956
M_D_F_S_premiumChange_pct_N,Premium,-0.022401264735933346,0.09861460103743849,5437,-0.017124536134667644,0.46630715119377963,1812,-0.0051992366567754226,0.8758114040862384,906,-0.04023654760090611,0.3929019950636229,453,12,-0.04023654760090611
V_skew_12_rat_N,Volatility,0.004048356637725183,0.7656172288639719,5425,0.004270800770086105,0.855996970639007,1808,0.03196002568403729,0.33713337405768506,904,-0.03948754927123469,0.4023009756595035,452,12,-0.03948754927123469
V_yangZhang_12_pct_N,Volatility,0.012950388322738298,0.3406934055858192,5415,0.03897888562660842,0.09791395734814555,1804,0.03471413365191187,0.2976673690335186,902,0.03838614942867046,0.4160833815971443,451,3,0.03897888562660842
B_consecutiveUp_bnd_N,Other,-0.012786031089451677,0.3458790212852543,5437,-0.02226056478236163,0.343617314909757,1812,0.01850169092617783,0.5780901381847416,906,-0.03852394597615967,0.41337196893108796,453,12,-0.03852394597615967
D_N_premiumRange_rat_N,Other,-0.004330121332002398,0.7495865292674198,5436,0.03847732407592564,0.10164913864137887,1811,0.030236055779621605,0.3635885372018508,905,0.03685637145140878,0.434406726740051,452,3,0.03847732407592564
L_S_oiVolumeRatio_6_rat_N,OpenInterest,-0.01304546450881901,0.3364024560560033,5432,-0.03749604474594101,0.11078067561976629,1810,-0.03651675315689048,0.2724713073521107,905,-0.02631229798842505,0.5768752948933733,452,3,-0.03749604474594101
L_M_N_S_oiPctChange_pct_N,OpenInterest,0.008766368952094403,0.5181489029525481,5436,0.03738601528946293,0.11173318154229005,1811,-0.028452552986122606,0.39258744283539637,905,-0.01615403877608648,0.7319664143761277,452,3,0.03738601528946293
V_atrPct_21_pct_N,Volatility,0.012591941605195292,0.3532947562606068,5436,0.03737751164775665,0.11181474646029922,1811,0.026302946862828462,0.4293406773675079,905,0.019746958350383533,0.6754321655436506,452,3,0.03737751164775665
L_N_S_oiRatio_21_rat_N,OpenInterest,-0.0010196471843423494,0.9401916301415616,5417,-0.001167782932214311,0.9604576856825916,1805,-0.029515610086891884,0.3759326956468815,902,-0.03727056884406332,0.42977078182509054,451,12,-0.03727056884406332
N_P_T_priceSmaDeviation_6_pct_N,Other,-0.027100137777906725,0.045798654780237376,5432,-0.037190302462527025,0.11372221451184257,1810,0.01657419708503068,0.6185190964514272,905,0.021176901096796232,0.6534094617363577,452,3,-0.037190302462527025
M_N_stochasticK_6_bnd_N,Oscillator,-0.023765749773622606,0.07987187308023924,5432,-0.03646434743110515,0.12095281677318077,1810,0.00459604850791817,0.8901822782906588,905,-0.004580520889522109,0.922635812166043,452,3,-0.03646434743110515
N_P_T_priceEmaDeviation_3_pct_N,Other,-0.02317682140025545,0.08748743978512356,5437,-0.036411693651926924,0.1212850238994417,1812,0.019663477067468495,0.554448441576253,906,0.015080289396563811,0.7488946312656427,453,3,-0.036411693651926924
V_volOfVol_6_pct_N,Volatility,0.013620378090434484,0.31580715457858455,5426,0.010310674882464815,0.6612961437809008,1808,0.036333865195839164,0.2751477840988203,904,-0.0033192500519465297,0.9438967699836323,452,6,0.036333865195839164
N_P_V_pctB_3_bnd_N,Volatility,-0.012577587945447156,0.35388810661450365,5435,-0.03605723086231593,0.12505787978953123,1811,0.013421758753634161,0.6867791731357364,905,-0.012110721023030213,0.7973533042328401,452,3,-0.03605723086231593
L_M_N_volumeRoc_12_pct_N,Volume,0.008044980154297061,0.553567482951999,5425,0.036034582309463076,0.12560902157685788,1808,0.014466519382498048,0.6640126221416331,904,-0.002990872614634198,0.949439313265961,452,3,0.036034582309463076
L_M_N_S_oiRoc_12_pct_N,OpenInterest,-0.005707579862356453,0.6742691902770618,5425,-0.009243804371273917,0.6944756893609174,1808,-0.03349216654730487,0.31447126344786275,904,-0.03596649068737442,0.4455901043092414,452,12,-0.03596649068737442
L_N_S_oiRatio_12_rat_N,OpenInterest,-0.00391046406764788,0.7733582636918077,5426,0.0011256918080950334,0.9618501459289515,1808,-0.03567888326091763,0.2839000159736619,904,-0.03595453551355853,0.44574145295131384,452,12,-0.03595453551355853
L_S_oiVolumeRatio_21_rat_N,OpenInterest,-0.00576474601120705,0.6714254442757882,5417,-0.02268468926252891,0.3354361576426159,1805,-0.016655559657190795,0.6173830525633406,902,-0.03508427682828718,0.45733789171589656,451,12,-0.03508427682828718
N_P_T_priceSmaDeviation_3_pct_N,Other,-0.009595841113266316,0.47939093633730245,5435,-0.03490657843459896,0.13756877102319362,1811,0.01869482382966213,0.5743393418148544,905,0.014186373103042034,0.7635773686547345,452,3,-0.03490657843459896
N_P_V_pctB_6_bnd_N,Volatility,-0.015914608335270704,0.24089831074904575,5432,-0.033879245538959366,0.14964693262443166,1810,0.011083284791524942,0.7391567179167647,905,0.01422561726056808,0.762942848298667,452,3,-0.033879245538959366
B_C_candleDirection_bin,Candlestick,-0.01494359657476911,0.2705967163062979,5437,-0.028724313322748187,0.22165722510678038,1812,0.008525351965042534,0.7977484870608448,906,-0.03305285837998384,0.48284231712568304,453,12,-0.03305285837998384
F_I_M_fundingMaDiff_3_21_pct_N,Funding,-0.005948223853702011,0.6610228854676994,5437,-0.0009374359779160137,0.9681912949940135,1812,-0.0244595381329632,0.46214363715694795,906,-0.033044775316281264,0.48294942329767276,453,12,-0.033044775316281264
N_M_cci_12_zsc_N,Other,-0.018730438455346644,0.16816823904461745,5415,-0.032750071935794364,0.16440147025446786,1804,0.007295094667236154,0.8268097674043492,902,0.010609527520277053,0.8222180769109447,451,3,-0.032750071935794364
V_parkinson_21_pct_N,Volatility,0.007745254996954453,0.5687252689702815,5417,0.03149817376857347,0.18102231515148764,1805,0.026671236740970817,0.42367765912543476,902,0.020147296404581096,0.6695838374858323,451,3,0.03149817376857347
B_consecutiveDown_bnd_N,Other,0.01905704593510123,0.16002272957286348,5437,0.031159191245464332,0.18491310881828543,1812,-0.01797063348808698,0.5890522596708905,906,0.008980344763423898,0.8488299107996596,453,3,0.031159191245464332
M_V_calmar_21_rat_N,Volatility,-0.01353874857502051,0.3191630523102881,5416,-0.01563835079210832,0.5067029607810749,1805,-0.022590142271681,0.498023753190023,902,-0.03115429227865046,0.5092921008115923,451,12,-0.03115429227865046
V_rogersSatchell_21_pct_N,Volatility,0.00649579266580833,0.6326595902783221,5417,0.031032299216724214,0.18756380099318706,1805,0.025778729779389536,0.43935928936186264,902,0.02001975289262144,0.6715531783356886,451,3,0.031032299216724214
V_garmanKlass_21_pct_N,Volatility,0.00682506162237651,0.6155153698331486,5417,0.030475225834590298,0.19561274784383734,1805,0.02572022349694225,0.44039875353572155,902,0.02162824009575574,0.6468858602876394,451,3,0.030475225834590298
M_P_L_vwapReturn_pct_N,Momentum,0.011524725783361953,0.39557976514212,5436,-0.030325408649078428,0.19707529979222538,1811,0.0032498025678643623,0.9222263742247306,905,0.001841876452894731,0.9688501800525178,452,3,-0.030325408649078428
V_maxDrawdown_21_pct_N,Volatility,-0.010926003592531595,0.4213997203241737,5417,-0.030037478671833227,0.20211293971236866,1805,-0.01562804454388794,0.6392556732068713,902,-0.004719177664438983,0.9203899941332567,451,3,-0.030037478671833227
M_P_S_W_oiWeightedReturn_pct_N,Momentum,0.029926588464130363,0.027352424259791983,5436,-0.009950576042426967,0.6721688392663681,1811,0.003058732943854802,0.9267857790208963,905,0.01876988278601811,0.6906425240244256,452,1,0.029926588464130363
N_P_T_priceEmaDeviation_6_pct_N,Other,-0.02163349519162089,0.11071500718425774,5437,-0.02986985927985089,0.2037662987148215,1812,0.014016328147839445,0.673516025778631,906,0.021380341987364267,0.6499371775862167,453,3,-0.02986985927985089
N_V_bollingerBandwidth_21_pct_N,Volatility,0.010188586181658098,0.45341787051098437,5417,0.029471810158533084,0.2107437644645664,1805,0.024281456228564847,0.4664001244440761,902,-0.017986120649621615,0.7032494509003558,451,3,0.029471810158533084
V_yangZhang_21_pct_N,Volatility,0.006787755816440005,0.6180979799667486,5397,0.028890166492568578,0.22079064063269171,1798,0.02466995828905003,0.4600462105627119,899,0.02829316470463463,0.5498599891139018,449,3,0.028890166492568578
V_volMomentum_12_pct_N,Volatility,0.001311831107778036,0.9230863765866075,5419,0.0008490055384498858,0.9712382930432719,1806,-0.017429979654968238,0.6009155240085602,903,-0.028586621666699365,0.5448293974361585,451,12,-0.028586621666699365
M_P_logReturn_pct_N,Momentum,-0.007551014000083261,0.5777936585619523,5436,-0.028433432213843413,0.22650236661193027,1811,-0.004428259524420874,0.894167415840487,905,-0.01152751645688152,0.8069149566931022,452,3,-0.028433432213843413
V_returnStd_3_pct_N,Volatility,0.00867967551707225,0.5223722415349594,5434,0.02789732094071167,0.2353833339554724,1811,0.01811012034375048,0.5863710512054496,905,-0.02375194157870409,0.614510171397841,452,3,0.02789732094071167
M_N_T_stochasticD_6_bnd_N,Oscillator,-0.02382808642483802,0.07913934591722675,5430,-0.027838528636499375,0.2366313600618971,1809,0.005621526251012573,0.8659637013088106,904,-0.004630550692990747,0.9217935052727616,452,3,-0.027838528636499375
M_N_stochasticK_12_bnd_N,Oscillator,-0.02069522749605679,0.12744597890651124,5426,-0.027436943183938772,0.2435952427407436,1808,0.008239553514881294,0.8046012069691915,904,-0.01041529544938004,0.82522865019656,452,3,-0.027436943183938772
N_P_T_priceEmaDeviation_21_pct_N,Other,-0.01260712653615676,0.35267018798307104,5437,-0.0273670072006424,0.24427741566622777,1812,0.003917340350040101,0.9062665712609446,906,0.005980041313597886,0.8989978101763408,453,3,-0.0273670072006424
M_T_V_diDiff_6_bnd_N,Volatility,-0.01384017984272555,0.30761462600527206,5436,-0.021779901306439385,0.35427344717088993,1811,0.01226289120946975,0.712566635397514,905,0.027319391434871654,0.5623745730780634,452,12,0.027319391434871654
N_M_cci_6_zsc_N,Other,-0.011427730839483253,0.3999594647550635,5427,-0.027196699708195198,0.24774924665545886,1808,0.006166670429717074,0.853106686936521,904,0.004486698764575729,0.9242156434924642,452,3,-0.027196699708195198
N_P_T_priceEmaDeviation_12_pct_N,Other,-0.014465210964521105,0.2862349247941448,5437,-0.02684429249930625,0.2534065535839025,1812,0.0022521485854111495,0.9460277955835024,906,0.010162520289541144,0.8292177187533661,453,3,-0.02684429249930625
N_P_L_vwapDeviation_pct_N,Other,-0.02066705491595643,0.12757901611995898,5437,-0.01861729349169449,0.42835184534551785,1812,-0.026779538861594548,0.4207670325192615,906,-0.016228922048660818,0.7304842623357792,453,6,-0.026779538861594548
N_P_zScore_21_zsc_N,Other,-0.01621872386176663,0.23267146115070036,5417,-0.026582870450585234,0.25898301470508683,1805,0.01144714333060552,0.7313500869982656,902,0.004277482356480844,0.9278198179980912,451,3,-0.026582870450585234
N_P_V_pctB_21_bnd_N,Volatility,-0.01621872386176663,0.23267146115070036,5417,-0.026582870450585234,0.25898301470508683,1805,0.01144714333060552,0.7313500869982656,902,0.004277482356480844,0.9278198179980912,451,3,-0.026582870450585234
M_P_roc_6_pct_N,Momentum,-0.015620325178359443,0.24975277354234487,5431,-0.01428660102671396,0.5435711481392294,1810,0.017720501501908917,0.5944526337669973,905,0.025334052896186336,0.5911265946970605,452,12,0.025334052896186336
N_P_T_priceSmaDeviation_21_pct_N,Other,-0.012789821522618287,0.34662513144158835,5417,-0.025109525626304034,0.28632663989327733,1805,0.0060266131147228156,0.8565639520382875,902,0.0031537913126516615,0.9467484011305298,451,3,-0.025109525626304034
V_volMomentum_21_pct_N,Volatility,0.004891121950742957,0.7191902597932638,5406,0.0051035197899469255,0.8286485436545841,1801,0.01826030237897413,0.5843145986581558,900,0.025004304548006003,0.5967854442919683,450,12,0.025004304548006003
M_N_T_stochasticD_12_bnd_N,Oscillator,-0.02046692722329082,0.13177097779387964,5424,-0.024647463807866296,0.2950217624249225,1807,0.004450496070271293,0.8937563394677793,903,-0.01508087566796826,0.7494244897524822,451,3,-0.024647463807866296
V_returnStd_21_pct_N,Volatility,0.005364572463578143,0.6930574700515266,5416,0.024536329765077664,0.29747296010576907,1805,0.01759133314290721,0.597753218089025,902,0.005115999188954076,0.9137208812887363,451,3,0.024536329765077664
V_skew_21_rat_N,Volatility,0.009287121288526356,0.49439926979500115,5416,0.009341694503145126,0.6916489336245911,1805,0.023285132977338627,0.484892895488653,902,-0.02367135711762643,0.6161050342898513,451,12,-0.02367135711762643
M_N_rocAccel_6_dif_N,Momentum,-0.010270465796633304,0.4494617542260183,5425,-0.01759726506512092,0.4545890114396556,1808,0.006826395432490633,0.8375995831905179,904,0.023631480207754935,0.6163071104049818,452,12,0.023631480207754935
D_F_T_premiumMa_3_pct_N,Premium,-0.014002983164381845,0.3019140928301971,5437,-0.003864035424132153,0.8694400375941159,1812,0.0235384200458547,0.4791797547537584,906,0.008946632342800109,0.8493906278020299,453,6,0.0235384200458547
N_P_T_priceSmaDeviation_12_pct_N,Other,-0.012739900430788443,0.34811050137379607,5426,-0.023515751474290733,0.3176251091746115,1808,0.006382934831709618,0.848016750962899,904,0.01239491629624037,0.7927047800642936,452,3,-0.023515751474290733
