target,horizon,helper,baseline_ic,best_ic,improvement_pct,best_config
direction,6,if,0.16760513786621303,0.18003325192996367,7.41511520587817,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
direction,6,kalman,0.12264816971490064,0.12264816971490064,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
direction,6,cusum,0.1032029984673387,0.13085987148137146,26.79851692757309,"{'threshold': 2.5, 'drift': 0.3}"
direction,12,hmm4,0.25476980887361794,0.25476980887361794,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,12,hmm5,0.26932265089578916,0.26932265089578916,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,12,garch,0.04757708037422165,0.04757708037422165,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
direction,12,if,0.08626045512820822,0.08626045512820822,0.0,"{'contamination_extreme': 0.005, 'contamination_moderate': 0.02, 'contamination_mild': 0.05, 'n_estimators': 100}"
direction,12,kalman,0.08165906864398746,0.10341410212296719,26.641295131378577,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
direction,12,cusum,0.08332047501637412,0.10455313872726345,25.483128494786776,"{'threshold': 5.0, 'drift': 0.0}"
vol_regime,1,hmm4,0.2915229664698224,0.31516657174208706,8.110374821776583,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,1,hmm5,0.332658264584925,0.4242313346544884,27.527670230536412,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,1,garch,0.45359904441840265,0.45359904441840265,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
vol_regime,1,if,0.23835906702805734,0.2907547307930731,21.981821131582237,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
