feature,category,fwd_ret_1_ic,fwd_ret_1_pval,fwd_ret_1_n,fwd_ret_1_icir,fwd_ret_1_hit_rate,fwd_ret_3_ic,fwd_ret_3_pval,fwd_ret_3_n,fwd_ret_3_icir,fwd_ret_3_hit_rate,fwd_ret_6_ic,fwd_ret_6_pval,fwd_ret_6_n,fwd_ret_6_icir,fwd_ret_6_hit_rate,fwd_ret_12_ic,fwd_ret_12_pval,fwd_ret_12_n,fwd_ret_12_icir,fwd_ret_12_hit_rate,fwd_ret_1_qval,fwd_ret_3_qval,fwd_ret_6_qval,fwd_ret_12_qval,max_abs_ic,fwd_ret_1_abs_ic,fwd_ret_3_abs_ic,fwd_ret_6_abs_ic,fwd_ret_12_abs_ic
N_P_V_pctB_3_bnd_N,Normalized,-0.011715742368889585,0.3883192008531572,5424,0.19524540441964408,0.5076554141302343,-0.032286541313570595,0.017411314601481015,5424,-0.23705665895309974,0.5145648967551623,0.003018277777357071,0.8241279737332653,5424,-0.013866199477952689,0.5171460176991151,0.004026065094091978,0.7668912256519376,5424,-0.09110141562182533,0.519454176654988,0.920730035241421,0.17287072087089736,0.9387520239016022,0.9488135069805573,0.032286541313570595,0.011715742368889585,0.032286541313570595,0.003018277777357071,0.004026065094091978
N_P_V_pctB_6_bnd_N,Normalized,-0.015325574593491077,0.2592401644348447,5421,0.05621455339295748,0.5081210778885198,-0.02559470986631156,0.05951804446016967,5421,-0.15968532877674857,0.5157719977863863,0.009744710082458589,0.4731707255822428,5421,-0.06517019564291612,0.5174322080796901,0.005335076979116213,0.6945260959835837,5421,-0.16690292557835393,0.5191881918819188,0.920730035241421,0.2670269021726531,0.8608786709485695,0.9016269174020634,0.02559470986631156,0.015325574593491077,0.02559470986631156,0.009744710082458589,0.005335076979116213
N_P_V_pctB_12_bnd_N,Normalized,-0.011286744404873298,0.4063190011061374,5415,0.05363124794737364,0.5044345898004434,-0.018685133759374015,0.16919978399143287,5415,-0.18503406186023874,0.5102493074792244,0.007004622546957581,0.6063194582604414,5415,-0.19433518846570103,0.515050784856879,-0.006755405925613721,0.6191898806647695,5415,-0.38182991256834176,0.5144070927225711,0.920730035241421,0.39559386116306844,0.8868521633484934,0.8683459186031687,0.018685133759374015,0.011286744404873298,0.018685133759374015,0.007004622546957581,0.006755405925613721
N_P_V_pctB_21_bnd_N,Normalized,-0.016148239878336038,0.23518410145178378,5406,-0.15277249399919968,0.49953729409587266,-0.024473327111200465,0.07197643858803605,5406,-0.31240104958045817,0.5020347761746208,0.001973763831636554,0.8846409457900778,5406,-0.31954017644705657,0.5090640029596745,-0.018014656584364342,0.185390849839788,5406,-0.5087166215846977,0.5128584643848288,0.920730035241421,0.28563041170967773,0.9483448624600379,0.39967378017408844,0.024473327111200465,0.016148239878336038,0.024473327111200465,0.001973763831636554,0.018014656584364342
M_T_ppo_8_21_pct_N,Trend,-0.011673002215441371,0.3899650661509154,5426,-0.7359597507068544,0.49151604573957947,-0.018261002334816586,0.1786468758223368,5426,-0.7782402024292753,0.4816589861751152,-0.000918323312580106,0.9460806524237095,5426,-0.8121998681688214,0.4894009216589862,-0.017564657899009822,0.19579022657577763,5426,-0.9212479445864488,0.4885693215339233,0.920730035241421,0.39818089182405664,0.9674198501073226,0.41668176425101394,0.018261002334816586,0.011673002215441371,0.018261002334816586,0.000918323312580106,0.017564657899009822
M_T_ppo_12_26_pct_N,Trend,-0.007133307973968598,0.5993503420173849,5426,-0.8848977930457999,0.50018443378827,-0.013978735694918464,0.30324190333972195,5426,-0.9272340909731287,0.4897695852534562,0.002315294339959902,0.8646100706995822,5426,-0.9734042230729917,0.4941935483870968,-0.01723113628614719,0.20441567784173958,5426,-1.0791257086324741,0.4941002949852507,0.920730035241421,0.5655972579145375,0.9483448624600379,0.4231208422128418,0.01723113628614719,0.007133307973968598,0.013978735694918464,0.002315294339959902,0.01723113628614719
N_P_T_priceSmaDeviation_3_pct_N,Normalized,-0.00879027247880117,0.5174716988740323,5424,0.08933453941499486,0.4774907749077491,-0.03787242699760454,0.005277658861954249,5424,-0.4129521405779195,0.47372303153236217,-0.0009740570695394117,0.9428242194195834,5424,-0.29105677805294927,0.49990780011063984,-0.0036360426043276846,0.78891043372511,5424,-0.4715364776350755,0.4987089634821099,0.920730035241421,0.09213370619350236,0.9674198501073226,0.962934794105649,0.03787242699760454,0.00879027247880117,0.03787242699760454,0.0009740570695394117,0.0036360426043276846
N_P_T_priceEmaDeviation_3_pct_N,Normalized,-0.022395559917102816,0.09904221369323465,5426,-0.07540390941445875,0.47085946145333823,-0.037232382994716706,0.006089772710014149,5426,-0.4267867923949259,0.47078341013824887,0.0006509962590113776,0.9617622718703815,5426,-0.32096016578941433,0.49585253456221196,-0.004196002564662457,0.7573112430825343,5426,-0.48796463487517094,0.4924410029498525,0.7268995443382483,0.09213370619350236,0.968706267950565,0.9452155364789526,0.037232382994716706,0.022395559917102816,0.037232382994716706,0.0006509962590113776,0.004196002564662457
N_P_T_priceSmaDeviation_6_pct_N,Normalized,-0.026516020021624696,0.05091450090339159,5421,-0.21981128777951267,0.47619047619047616,-0.033347045569210136,0.014073798225518798,5421,-0.40770355825608645,0.4742667404537908,0.002977722807141456,0.8265004593446527,5421,-0.3112524665094497,0.4958494742667405,-0.002555958377101286,0.8507625292924701,5421,-0.4641772181325158,0.4904059040590406,0.7268995443382483,0.16755523267352992,0.9387520239016022,0.9804422209982994,0.033347045569210136,0.026516020021624696,0.033347045569210136,0.002977722807141456,0.002555958377101286
N_P_T_priceEmaDeviation_6_pct_N,Normalized,-0.021145874811298683,0.11936374661425135,5426,-0.22366693889315697,0.4767613426779786,-0.029488280216908812,0.029846650361355236,5426,-0.47038468754718576,0.4774193548387097,0.002651097650913974,0.8452059415976694,5426,-0.3815103085291658,0.4951152073732719,-0.0046785147436321246,0.7304339247041384,5426,-0.5275543360127656,0.4872787610619469,0.7907137917146122,0.22145258112173996,0.9471266628810918,0.9327079346222075,0.029488280216908812,0.021145874811298683,0.029488280216908812,0.002651097650913974,0.0046785147436321246
